"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900050","1498","11","Democratic","116"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900050","1498","11","Democratic","95"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900050","1498","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900050","1498","11","Democratic","2"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900053","1160","11","Democratic","3"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900053","1160","11","Democratic","85"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900053","1160","11","Democratic","28"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900053","1160","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900053","1160","11","Democratic","4"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900059","806","11","Democratic","2"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900059","806","11","Democratic","91"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900059","806","11","Democratic","43"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900059","806","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900059","806","11","Democratic","5"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900082","1319","11","Democratic","2"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900082","1319","11","Democratic","195"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900082","1319","11","Democratic","58"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900082","1319","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900082","1319","11","Democratic","4"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900085","1132","11","Democratic","3"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900085","1132","11","Democratic","115"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900085","1132","11","Democratic","85"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900085","1132","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900085","1132","11","Democratic","3"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900092","1296","11","Democratic","4"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900092","1296","11","Democratic","94"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900092","1296","11","Democratic","78"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900092","1296","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900092","1296","11","Democratic","6"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","9100002","1645","11","Democratic","6"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","9100002","1645","11","Democratic","133"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","9100002","1645","11","Democratic","252"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 03 Precinct 32","1369","11","Democratic","108"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 03 Precinct 32","1369","11","Democratic","136"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 32","1369","11","Democratic","16"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 03 Precinct 32","1369","11","Democratic","5"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 01 Precinct 06","825","11","Democratic","0"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 01 Precinct 06","825","11","Democratic","112"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 01 Precinct 06","825","11","Democratic","33"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 01 Precinct 06","825","11","Democratic","15"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 01 Precinct 06","825","11","Democratic","2"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 02 Precinct 01","959","11","Democratic","29"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 02 Precinct 01","959","11","Democratic","0"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 02 Precinct 01","959","11","Democratic","16"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 02 Precinct 01","959","11","Democratic","7"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 02 Precinct 01","959","11","Democratic","2"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 15","809","11","Democratic","3"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 03 Precinct 15","809","11","Democratic","5"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 03 Precinct 15","809","11","Democratic","48"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 15","809","11","Democratic","0"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 03 Precinct 15","809","11","Democratic","83"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 03 Precinct 24","756","11","Democratic","45"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 24","756","11","Democratic","1"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 03 Precinct 24","756","11","Democratic","90"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 24","756","11","Democratic","4"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 03 Precinct 24","756","11","Democratic","2"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 03 Precinct 26","828","11","Democratic","113"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 26","828","11","Democratic","0"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 03 Precinct 26","828","11","Democratic","146"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 26","828","11","Democratic","5"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 03 Precinct 26","828","11","Democratic","8"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 03 Precinct 34","1140","11","Democratic","135"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 34","1140","11","Democratic","1"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 03 Precinct 34","1140","11","Democratic","113"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 34","1140","11","Democratic","18"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 03 Precinct 34","1140","11","Democratic","9"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 03 Precinct 37","724","11","Democratic","54"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 37","724","11","Democratic","0"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 20 Precinct 36","270","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 20 Precinct 36","270","12","Republican","1"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 24 Precinct 08","345","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 24 Precinct 08","345","12","Republican","1"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 01 Precinct 06","825","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 01 Precinct 06","825","12","Republican","13"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 02 Precinct 01","959","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 02 Precinct 01","959","12","Republican","4"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 15","809","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 15","809","12","Republican","3"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 24","756","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 24","756","12","Republican","2"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 26","828","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 26","828","12","Republican","46"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 34","1140","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 34","1140","12","Republican","17"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 37","724","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 37","724","12","Republican","2"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 11 Precinct 10","965","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 11 Precinct 10","965","12","Republican","30"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 11 Precinct 22","1027","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 11 Precinct 22","1027","12","Republican","31"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 11 Precinct 26","775","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 11 Precinct 26","775","12","Republican","29"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 11 Precinct 35","212","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 11 Precinct 35","212","12","Republican","8"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 16 Precinct 03","513","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 16 Precinct 03","513","12","Republican","1"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 16 Precinct 06","595","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 16 Precinct 06","595","12","Republican","1"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 16 Precinct 16","535","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 16 Precinct 16","535","12","Republican","1"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 16 Precinct 25","667","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 16 Precinct 25","667","12","Republican","5"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 16 Precinct 28","551","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 16 Precinct 28","551","12","Republican","3"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 17 Precinct 06","722","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 17 Precinct 06","722","12","Republican","3"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500008","993","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500008","993","12","Republican","13"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500011","972","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500011","972","12","Republican","16"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500014","1070","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500014","1070","12","Republican","32"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900006","1384","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900006","1384","12","Republican","92"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900038","851","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900038","851","12","Republican","9"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900041","750","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900041","750","12","Republican","4"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900045","1319","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900045","1319","12","Republican","3"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900048","1207","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900048","1207","12","Republican","18"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900072","774","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900072","774","12","Republican","32"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900076","1184","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900076","1184","12","Republican","43"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900083","1632","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900083","1632","12","Republican","7"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500017","1494","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500017","1494","12","Republican","29"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500020","1735","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500020","1735","12","Republican","51"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500024","746","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500024","746","12","Republican","23"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500027","1599","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500027","1599","12","Republican","40"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900051","1048","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900051","1048","12","Republican","49"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900056","1143","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900056","1143","12","Republican","4"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900060","665","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900060","665","12","Republican","23"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900086","1496","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900086","1496","12","Republican","5"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900093","765","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900093","765","12","Republican","33"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","9100003","1005","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","9100003","1005","12","Republican","55"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","9100007","1026","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","9100007","1026","12","Republican","51"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500002","1309","12","Republican","0"
